,Survived,Pclass,Sex,Age,Fare,Embarked,Title,IsAlone
773,0,3,1,1,0,0,2,1
774,1,2,0,3,2,2,3,0
775,0,3,1,1,0,2,2,1
776,0,3,1,1,0,1,2,1
777,1,3,0,0,1,2,1,1
778,0,3,1,1,0,1,2,1
779,1,1,0,2,3,2,3,0
780,1,3,0,0,0,0,1,1
781,1,1,0,1,3,2,3,0
782,0,1,1,1,2,2,2,1
783,0,3,1,1,2,2,2,0
784,0,3,1,1,0,2,2,1
785,0,3,1,1,0,2,2,1
786,1,3,0,1,0,2,1,1
787,0,3,1,0,2,1,0,0
788,1,3,1,0,2,2,0,0
789,0,1,1,2,3,0,2,1
790,0,3,1,1,0,1,2,1
791,0,2,1,0,2,2,2,1
792,0,3,0,1,3,2,1,0
793,0,1,1,1,2,0,2,1
794,0,3,1,1,0,2,2,1
795,0,2,1,2,1,2,2,1
796,1,1,0,3,2,2,4,1
797,1,3,0,1,1,2,3,1
798,0,3,1,1,0,0,2,1
799,0,3,0,1,2,2,3,0
800,0,2,1,2,1,2,2,1
801,1,2,0,1,2,2,3,0
802,1,1,1,0,3,2,0,0
803,1,3,1,0,1,0,0,0
804,1,3,1,1,0,2,2,1
805,0,3,1,1,0,2,2,1
806,0,1,1,2,0,2,2,1
807,0,3,0,1,0,2,1,1
808,0,2,1,2,1,2,2,1
809,1,1,0,2,3,2,3,0
810,0,3,1,1,0,2,2,1
811,0,3,1,2,2,2,2,1
812,0,2,1,2,1,2,2,1
813,0,3,0,0,3,2,1,0
814,0,3,1,1,1,2,2,1
815,0,1,1,1,0,2,2,1
816,0,3,0,1,1,2,1,1
817,0,2,1,1,3,0,2,0
818,0,3,1,2,0,2,2,1
819,0,3,1,0,2,2,0,0
820,1,1,0,3,3,2,3,0
821,1,3,1,1,1,2,2,1
822,0,1,1,2,0,2,4,1
823,1,3,0,1,1,2,3,0
824,0,3,1,0,3,2,0,0
825,0,3,1,1,0,1,2,1
826,0,3,1,1,3,2,2,1
827,1,2,1,0,3,0,0,0
828,1,3,1,1,0,1,2,1
829,1,1,0,3,3,2,3,1
830,1,3,0,0,2,0,3,0
831,1,2,1,0,2,2,0,0
832,0,3,1,1,0,0,2,1
833,0,3,1,1,0,2,2,1
834,0,3,1,1,1,2,2,1
835,1,1,0,2,3,0,1,0
836,0,3,1,1,1,2,2,1
837,0,3,1,1,1,2,2,1
838,1,3,1,1,3,2,2,1
839,1,1,1,1,2,0,2,1
840,0,3,1,1,1,2,2,1
841,0,2,1,0,1,2,2,1
842,1,1,0,1,2,0,1,1
843,0,3,1,2,0,0,2,1
844,0,3,1,1,1,2,2,1
845,0,3,1,2,0,2,2,1
846,0,3,1,1,3,2,2,0
847,0,3,1,2,0,0,2,1
848,0,2,1,1,3,2,4,0
849,1,1,0,1,3,0,3,0
850,0,3,1,0,3,2,0,0
851,0,3,1,4,0,2,2,1
852,0,3,0,0,2,0,1,0
853,1,1,0,0,3,2,1,0
854,0,2,0,2,2,2,3,0
855,1,3,0,1,1,2,3,0
856,1,1,0,2,3,2,3,0
857,1,1,1,3,2,2,2,1
858,1,3,0,1,2,0,3,0
859,0,3,1,1,0,0,2,1
860,0,3,1,2,1,2,2,0
861,0,2,1,1,1,2,2,0
862,1,1,0,2,2,2,3,1
863,0,3,0,1,3,2,1,0
864,0,2,1,1,1,2,2,1
865,1,2,0,2,1,2,3,1
866,1,2,0,1,1,0,1,0
867,0,1,1,1,3,2,2,1
868,0,3,1,1,1,2,2,1
869,1,3,1,0,1,2,0,0
870,0,3,1,1,0,2,2,1
871,1,1,0,2,3,2,3,0
872,0,1,1,2,0,2,2,1
873,0,3,1,2,1,2,2,1
874,1,2,0,1,2,0,3,0
875,1,3,0,0,0,0,1,1
876,0,3,1,1,1,2,2,1
877,0,3,1,1,0,2,2,1
878,0,3,1,1,0,2,2,1
879,1,1,0,3,3,0,3,0
880,1,2,0,1,2,2,3,0
881,0,3,1,2,0,2,2,1
882,0,3,0,1,1,2,1,1
883,0,2,1,1,1,2,2,1
884,0,3,1,1,0,2,2,1
885,0,3,0,2,2,1,3,0
886,0,2,1,1,1,2,4,1
887,1,1,0,1,2,2,1,1
888,0,3,0,1,2,2,1,0
889,1,1,1,1,2,0,2,1
890,0,3,1,1,0,1,2,1
